################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.1092255724806394E+01 a         1     0     1     1     1
  1.7015752154929523E+01 a         2     0     1     1     2
  6.8972460340292656E+01 a         3     0     1     1     3
 -5.0476050004504449E+00 a         4     0     1     1     4
  7.2425247919383673E-01 a         5     0     1     1     5
 -2.6308433084010630E+00 a         6     0     1     1     6
 -4.1551709530969170E+00 a         7     0     1     1     7
  1.1290839926154575E+01 a         8     0     1     1     8
  3.3292808076775323E+01 a         9     0     1     1     9
 -2.4684231733027605E+01 a        10     0     1     1    10
 -1.2080761980919823E+01 a        11     0     1     1    11
  9.4818645048074330E+00 a        12     0     1     1    12
  1.8857367014853488E+00 a        13     0     1     1    13
  7.1112054446014898E+00 a        14     0     1     1    14
 -1.0882269817847368E+01 a        15     0     1     1    15
 -1.5235120191005565E+01 a        16     0     1     1    16
 -1.2795977638679490E+01 a        17     0     1     1    17
 -2.9731710232103317E+00 a        18     0     1     1    18
  7.0802633891706623E+00 a        19     0     1     1    19
  4.6720971618491189E+00 a        20     0     1     1    20
 -1.5905599699820925E+01 a        21     0     1     1    21
  3.4678353361390104E+00 a        22     0     1     1    22
 -1.1168902287304574E+01 a        23     0     1     1    23
 -1.7879928876985174E+00 a        24     0     1     1    24
  3.8924502525932533E-02 a        25     0     1     1    25
 -2.6210257569307693E+01 a        26     0     2     1     1
 -2.5216372492909742E+00 a        27     0     2     1     2
 -4.0675013469772360E+01 a        28     0     2     1     3
 -5.2990792732186193E+01 a        29     0     2     1     4
 -2.1910991730112080E+01 a        30     0     2     1     5
  7.1400809096782714E-01 a        31     0     2     1     6
  1.8511815180260982E+01 a        32     0     2     1     7
  2.4294075510037980E+00 a        33     0     2     1     8
 -2.3683030718815228E+01 a        34     0     2     1     9
 -2.5508492420754767E+01 a        35     0     2     1    10
  7.8724920354720727E+00 a        36     0     2     1    11
 -4.0516227188690337E+01 a        37     0     2     1    12
 -2.6355123364640065E+01 a        38     0     2     1    13
  4.8825364143743428E+01 a        39     0     2     1    14
 -1.3060249113181143E+01 a        40     0     2     1    15
 -1.3782948654702301E+01 a        41     0     2     1    16
  3.1447740817189125E+01 a        42     0     2     1    17
  1.6035336580237864E+01 a        43     0     2     1    18
  8.3521562129075573E+00 a        44     0     2     1    19
 -2.1621257330412340E+00 a        45     0     2     1    20
 -1.3303457698888822E+01 a        46     0     2     1    21
 -2.5979817778239013E+01 a        47     0     2     1    22
  1.7965736497737463E+01 a        48     0     2     1    23
  3.5222862133590368E+01 a        49     0     2     1    24
 -8.0949195531285190E-01 a        50     0     2     1    25
  5.4431127488302105E+00 a        51     0     3     1     1
  1.4589726432942774E+01 a        52     0     3     1     2
  3.5343659160755308E+01 a        53     0     3     1     3
  3.3963899712874994E+00 a        54     0     3     1     4
  2.5584310213774902E+01 a        55     0     3     1     5
 -9.1475660582500495E+00 a        56     0     3     1     6
  2.0326636620456938E+01 a        57     0     3     1     7
 -1.3050737025503453E+01 a        58     0     3     1     8
  2.0869246879262679E+01 a        59     0     3     1     9
  2.0390410847889438E+01 a        60     0     3     1    10
 -6.1844424266154086E+00 a        61     0     3     1    11
  3.2073531096363887E+01 a        62     0     3     1    12
  1.3003769794446532E+01 a        63     0     3     1    13
 -1.5719977052433141E+01 a        64     0     3     1    14
 -3.4524800263496601E+01 a        65     0     3     1    15
  1.0528861617708079E+01 a        66     0     3     1    16
  8.2535796666208405E+00 a        67     0     3     1    17
  1.7503202085418664E+01 a        68     0     3     1    18
  1.0403185056693172E+00 a        69     0     3     1    19
 -6.4481604317339043E+00 a        70     0     3     1    20
 -3.1856710234615029E+01 a        71     0     3     1    21
  5.5572163603873266E+00 a        72     0     3     1    22
  2.6271066518329810E+01 a        73     0     3     1    23
  8.0857260955250929E+00 a        74     0     3     1    24
 -7.0842834859940829E-01 a        75     0     3     1    25
 -1.5614068011643150E+01 a        76     0     4     1     1
 -4.3608931126967079E+01 a        77     0     4     1     2
 -1.1888376349608104E+02 a        78     0     4     1     3
  9.7686178729392132E+00 a        79     0     4     1     4
 -4.0959501422699987E+00 a        80     0     4     1     5
 -3.9922795818350800E+00 a        81     0     4     1     6
  6.9373872321480112E+00 a        82     0     4     1     7
 -2.5161398920322750E+01 a        83     0     4     1     8
 -6.4932359415088655E+01 a        84     0     4     1     9
  5.2378730367687176E+01 a        85     0     4     1    10
  2.4875765660880738E+01 a        86     0     4     1    11
 -2.1638404587521809E+01 a        87     0     4     1    12
 -4.2402772952864174E+00 a        88     0     4     1    13
 -1.2172317500996956E+00 a        89     0     4     1    14
  1.3508250197522765E+01 a        90     0     4     1    15
  2.8875079421730295E+01 a        91     0     4     1    16
  3.0403244422846651E+01 a        92     0     4     1    17
