################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  9.2662601810394740E+00 a         1     0     1     1     1
 -3.1026600305904077E+00 a         2     0     1     1     2
 -1.2795843430913010E+01 a         3     0     1     1     3
 -1.2883670434124308E+01 a         4     0     1     1     4
  1.9602646396562761E+01 a         5     0     1     1     5
  3.1792450292806709E+01 a         6     0     1     1     6
  4.0065913214616977E+01 a         7     0     1     1     7
 -4.3825692762195985E+01 a         8     0     1     1     8
  2.6617628338604469E+01 a         9     0     1     1     9
  2.2116637739137982E+01 a        10     0     1     1    10
  9.2365010817376607E+00 a        11     0     1     1    11
 -3.3196658108480364E+01 a        12     0     1     1    12
  1.4966824089337161E+01 a        13     0     1     1    13
  2.6450457582387781E+01 a        14     0     1     1    14
  4.8901470625232302E-01 a        15     0     1     1    15
  3.3631647343786106E+00 a        16     0     1     1    16
  4.7839230607663623E+00 a        17     0     1     1    17
  1.1758680588061035E+01 a        18     0     1     1    18
  3.7787101625939329E+01 a        19     0     1     1    19
 -2.6329518169794753E+01 a        20     0     1     1    20
  3.0506280493271127E+01 a        21     0     1     1    21
 -1.5294605192268362E+01 a        22     0     1     1    22
 -3.1129180616323648E+01 a        23     0     1     1    23
  3.6590922335347633E+00 a        24     0     1     1    24
  6.2154334466154664E+00 a        25     0     1     1    25
 -2.4764355277012495E+01 a        26     0     2     1     1
  9.6697259612942033E-01 a        27     0     2     1     2
 -7.2323251828329669E+00 a        28     0     2     1     3
  1.3581749879342363E+01 a        29     0     2     1     4
 -4.1444922648018178E+01 a        30     0     2     1     5
  2.5198751704115903E+01 a        31     0     2     1     6
  9.5311318462492789E+00 a        32     0     2     1     7
