################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -7.9759741975472451E+00 a       117     0     5     1    17
 -8.5453442227678678E+01 a       118     0     5     1    18
 -6.3058580682774711E+01 a       119     0     5     1    19
  1.5529580730399006E+01 a       120     0     5     1    20
  8.6820670991468404E+01 a       121     0     5     1    21
  3.0676840951433235E+01 a       122     0     5     1    22
 -6.8640607345072453E+01 a       123     0     5     1    23
  6.6499635199491266E+01 a       124     0     5     1    24
  1.5876878030001938E+01 a       125     0     5     1    25
  6.5724652067323435E+00 a       126     0     6     1     1
  3.4716417598842590E+01 a       127     0     6     1     2
 -4.4884097701629628E+01 a       128     0     6     1     3
  5.4029508130780606E+01 a       129     0     6     1     4
  1.7246512050542194E+01 a       130     0     6     1     5
  2.1146399983636154E+01 a       131     0     6     1     6
 -3.3533779891696902E+01 a       132     0     6     1     7
 -9.6767797220821421E+01 a       133     0     6     1     8
 -4.0904349029559008E+01 a       134     0     6     1     9
  6.3073529426012620E+01 a       135     0     6     1    10
 -7.9356923971722946E+00 a       136     0     6     1    11
 -1.7287620223353436E+01 a       137     0     6     1    12
 -8.8608994099291550E+01 a       138     0     6     1    13
  8.9500895019514971E+01 a       139     0     6     1    14
  9.1843510120155543E+01 a       140     0     6     1    15
 -4.2164881586561116E+01 a       141     0     6     1    16
 -3.9735800377307491E+01 a       142     0     6     1    17
  6.4202033983138321E+01 a       143     0     6     1    18
  7.1350422180974931E+01 a       144     0     6     1    19
 -5.8387097353935822E+01 a       145     0     6     1    20
 -5.1503296769608742E-01 a       146     0     6     1    21
 -6.7770454521986295E+01 a       147     0     6     1    22
 -4.7771798904900940E+01 a       148     0     6     1    23
 -1.3799543947377904E+02 a       149     0     6     1    24
  8.7780752511716784E+01 a       150     0     6     1    25
  3.0093022470319497E-01 a       151     0     7     1     1
  8.7603896165650550E+00 a       152     0     7     1     2
  3.5009648121645127E+00 a       153     0     7     1     3
 -9.8375058565870663E+00 a       154     0     7     1     4
 -6.0971919921178575E+01 a       155     0     7     1     5
  2.1294207558052683E+01 a       156     0     7     1     6
 -2.9117575725573403E+01 a       157     0     7     1     7
  1.4123644168017231E+01 a       158     0     7     1     8
  5.5561643554635198E+00 a       159     0     7     1     9
  2.2425015862753388E+00 a       160     0     7     1    10
  7.3352145236031250E+00 a       161     0     7     1    11
 -2.4083023941632554E+01 a       162     0     7     1    12
  3.2696988959355657E+01 a       163     0     7     1    13
 -6.2212028354562330E+00 a       164     0     7     1    14
  4.0730166782183119E+01 a       165     0     7     1    15
  3.9068394732737765E+01 a       166     0     7     1    16
  1.4874581292392879E+01 a       167     0     7     1    17
  2.7270562407125674E+01 a       168     0     7     1    18
 -5.8750867587152193E+01 a       169     0     7     1    19
 -2.0306566776902002E+01 a       170     0     7     1    20
 -5.3717764901487477E+01 a       171     0     7     1    21
 -4.8973812529548439E+01 a       172     0     7     1    22
 -4.1754434353580848E+01 a       173     0     7     1    23
 -2.6997482805817832E+01 a       174     0     7     1    24
  1.6590966214159304E+00 a       175     0     7     1    25
 -4.8838631122567255E+00 a       176     0     8     1     1
  1.1915685380539520E+01 a       177     0     8     1     2
 -1.6246756204543114E+00 a       178     0     8     1     3
 -1.2939469814624850E+01 a       179     0     8     1     4
  2.8675245521888972E+00 a       180     0     8     1     5
 -5.7499644348633536E+00 a       181     0     8     1     6
  3.5462735964144141E+00 a       182     0     8     1     7
  2.1435892190745832E+01 a       183     0     8     1     8
  2.3515239182473863E+01 a       184     0     8     1     9
  2.1022050120012491E+01 a       185     0     8     1    10
 -2.4122707461892340E+01 a       186     0     8     1    11
  3.1070373694595967E+00 a       187     0     8     1    12
 -1.1478886487714156E+02 a       188     0     8     1    13
 -7.9766862412014659E+00 a       189     0     8     1    14
 -1.9489855827278710E+01 a       190     0     8     1    15
  7.7554907608398178E+00 a       191     0     8     1    16
 -1.0384037220263243E+01 a       192     0     8     1    17
  8.4043366910435566E+01 a       193     0     8     1    18
  3.9479217240937260E+01 a       194     0     8     1    19
  1.6126957408616679E+01 a       195     0     8     1    20
 -5.6138158379299064E+01 a       196     0     8     1    21
 -6.7242375113521522E+00 a       197     0     8     1    22
  6.9741492776140902E+01 a       198     0     8     1    23
 -2.3956974384398094E+01 a       199     0     8     1    24
 -2.3704544008949540E+01 a       200     0     8     1    25
 -2.3395279371500224E-01 a       201     0     9     1     1
 -1.9351620443481195E+01 a       202     0     9     1     2
  2.0160292665891141E+01 a       203     0     9     1     3
 -5.2764666978433725E+00 a       204     0     9     1     4
  3.6255585427830496E+01 a       205     0     9     1     5
  4.8898439753801179E+00 a       206     0     9     1     6
  4.3914878140980520E+01 a       207     0     9     1     7
  7.3132072416692949E+01 a       208     0     9     1     8
  8.6433955481733271E+00 a       209     0     9     1     9
 -6.1198516727661811E+00 a       210     0     9     1    10
 -6.4219404173281358E+00 a       211     0     9     1    11
  1.7119510637679326E+01 a       212     0     9     1    12
  3.4291583532024035E+01 a       213     0     9     1    13
 -4.1556348157847033E+01 a       214     0     9     1    14
 -3.4884909129145655E+01 a       215     0     9     1    15
  4.1852073310130599E+01 a       216     0     9     1    16
 -5.5643048303339233E+00 a       217     0     9     1    17
 -9.4817485579420886E+00 a       218     0     9     1    18
 -5.0516883003041988E+00 a       219     0     9     1    19
  2.6912734342331071E+01 a       220     0     9     1    20
 -1.6517993041122782E+01 a       221     0     9     1    21
  5.5744365660211635E+01 a       222     0     9     1    22
  1.3463252901035299E+01 a       223     0     9     1    23
  1.8896347497708459E+00 a       224     0     9     1    24
 -1.6095829415973490E+01 a       225     0     9     1    25
 -5.4148283509471273E+00 a       226     0    10     1     1
 -9.2260734684100569E+00 a       227     0    10     1     2
 -1.4738020386540396E-01 a       228     0    10     1     3
 -1.2544734516192710E+01 a       229     0    10     1     4
  3.1559322641994697E+01 a       230     0    10     1     5
 -9.9838052062083946E+00 a       231     0    10     1     6
  1.5036674863100371E+01 a       232     0    10     1     7
 -8.9583149834054101E+00 a       233     0    10     1     8
  6.8275229713685504E-01 a       234     0    10     1     9
 -6.2154075118134546E+00 a       235     0    10     1    10
 -2.4756996264761728E+00 a       236     0    10     1    11
  3.2643226461331814E+01 a       237     0    10     1    12
 -2.1542864349442720E+01 a       238     0    10     1    13
  1.1908011468151257E+01 a       239     0    10     1    14
 -3.8428056406596468E+01 a       240     0    10     1    15
 -1.8032453520252030E+01 a       241     0    10     1    16
 -1.1277564565470470E+01 a       242     0    10     1    17
 -2.6032408506490068E+01 a       243     0    10     1    18
