################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -5.5754009359171670E+00 a         1     0     1     1     1
  1.5894931186674086E+01 a         2     0     1     1     2
  1.0273856984399632E+01 a         3     0     1     1     3
 -2.8031820476038183E+00 a         4     0     1     1     4
  5.7307783549862073E+01 a         5     0     1     1     5
  2.3358924678947126E+01 a         6     0     1     1     6
  9.8280616024538965E+00 a         7     0     1     1     7
 -4.5762198367777124E+01 a         8     0     1     1     8
 -3.3910390683137990E+01 a         9     0     1     1     9
 -3.5911472562661797E+00 a        10     0     1     1    10
 -1.1914753266181915E+01 a        11     0     1     1    11
 -2.2383073095350774E+01 a        12     0     1     1    12
 -1.4730998309656830E+01 a        13     0     1     1    13
  2.1545966787452788E+00 a        14     0     1     1    14
 -3.1262998481279709E+00 a        15     0     1     1    15
 -7.9963597610639399E+00 a        16     0     1     1    16
 -9.5823454208876360E+00 a        17     0     1     1    17
 -1.0117136986399496E+01 a        18     0     1     1    18
  1.5423736709161483E+01 a        19     0     1     1    19
 -2.7550229527265607E+01 a        20     0     1     1    20
  3.3272396734063064E-01 a        21     0     1     1    21
  4.0258870094515844E+00 a        22     0     1     1    22
 -5.5092423782158848E+00 a        23     0     1     1    23
  4.9168423424952060E+01 a        24     0     1     1    24
  3.6983961295086480E+01 a        25     0     1     1    25
  1.7519567217904264E+01 a        26     0     2     1     1
  6.9567291607521113E+01 a        27     0     2     1     2
 -4.5332176879716970E+00 a        28     0     2     1     3
  3.0455988900248787E-01 a        29     0     2     1     4
 -2.3746785077626253E+01 a        30     0     2     1     5
 -2.8537081599386287E+01 a        31     0     2     1     6
 -1.5710284949692095E+02 a        32     0     2     1     7
  6.7406642509235880E+01 a        33     0     2     1     8
 -3.1114813017268418E+01 a        34     0     2     1     9
 -3.8163146212298521E+01 a        35     0     2     1    10
 -2.8774508692623723E+01 a        36     0     2     1    11
  1.6187653330672471E+00 a        37     0     2     1    12
 -4.3674176077695769E+01 a        38     0     2     1    13
  4.4747174460091493E+01 a        39     0     2     1    14
  3.6332096973614378E+00 a        40     0     2     1    15
 -4.6073304139987075E+00 a        41     0     2     1    16
  5.4484768648127599E+01 a        42     0     2     1    17
  6.5637615107588218E+01 a        43     0     2     1    18
  6.0173095932389451E+00 a        44     0     2     1    19
