################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -7.6478041077631485E+00 a         1     0     1     1     1
 -3.5777663617674849E+00 a         2     0     1     1     2
 -1.3612679081230871E+01 a         3     0     1     1     3
  5.7538078786469073E+00 a         4     0     1     1     4
 -3.7592729539606353E+01 a         5     0     1     1     5
  2.3854971290233568E+01 a         6     0     1     1     6
 -1.2019687263895158E+01 a         7     0     1     1     7
 -1.8196278132551559E+01 a         8     0     1     1     8
 -1.2108474845273598E+01 a         9     0     1     1     9
  1.8058438472233927E+01 a        10     0     1     1    10
  5.3969625315913108E+00 a        11     0     1     1    11
  1.2617459128941118E+01 a        12     0     1     1    12
  3.3519128869330781E+00 a        13     0     1     1    13
  1.7188554197411644E+01 a        14     0     1     1    14
  4.3646380097697985E+00 a        15     0     1     1    15
 -3.9916133889487262E+00 a        16     0     1     1    16
  4.9201631350020385E+00 a        17     0     1     1    17
  1.1301630803720252E+01 a        18     0     1     1    18
 -8.2764645365832372E+00 a        19     0     1     1    19
 -7.7819160480292721E-02 a        20     0     1     1    20
 -3.5940716980222277E+01 a        21     0     1     1    21
 -1.2870174974105661E+01 a        22     0     1     1    22
 -1.1720307108147056E+01 a        23     0     1     1    23
  3.5251027690691252E+00 a        24     0     1     1    24
  8.9929415741850836E+00 a        25     0     1     1    25
  3.4064939393894065E+01 a        26     0     2     1     1
 -2.0474150583563489E+01 a        27     0     2     1     2
 -1.3539870441206959E+01 a        28     0     2     1     3
  1.9216141722519872E+01 a        29     0     2     1     4
  1.9053377029640810E+01 a        30     0     2     1     5
  2.6199748017786899E+01 a        31     0     2     1     6
  1.9713415962310638E+01 a        32     0     2     1     7
 -2.1106711902573306E+01 a        33     0     2     1     8
  9.7694733985423188E+00 a        34     0     2     1     9
