################################################################################
# Symmetry function scaling data.
################################################################################
# Col  Name     Description
################################################################################
# 1    e_index  Element index.
# 2    sf_index Symmetry function index.
# 3    sf_min   Symmetry function minimum.
# 4    sf_max   Symmetry function maximum.
# 5    sf_mean  Symmetry function mean.
# 6    sf_sigma Symmetry function sigma.
#########################################################################################################################
#        1          2                        3                        4                        5                        6
#  e_index   sf_index                   sf_min                   sf_max                  sf_mean                 sf_sigma
#########################################################################################################################
         2         20   0.0000000000000000E+00   2.2639516220156772E+00   7.5216354360485072E-01   7.5116003582864743E-01
         2         21   3.3259696919781170E-05   8.4705961270159786E+00   1.0033863469810356E+00   6.1398307335482116E-01
         2         22   6.6687728982383013E-12   7.2219029566089388E+00   7.3839512263430807E-01   4.9164721265931560E-01
         2         23   0.0000000000000000E+00   2.8859611573235897E+00   1.0435083488224843E+00   3.8935306185936425E-01
         2         24   0.0000000000000000E+00   1.6169775854568846E+00   4.8803556753214267E-01   2.0182041895811953E-01
         2         25   0.0000000000000000E+00   2.7808651394373571E+00   8.2231728881151034E-01   3.4868767022517505E-01
         2         26   0.0000000000000000E+00   1.5977284872072437E+00   3.7050809208174346E-01   1.9795739766890449E-01
         2         27   7.7718385400186978E-11   3.3270439723702978E+00   3.0356191861045351E-02   2.1958355465878435E-01
         2         28   0.0000000000000000E+00   1.0821574499809814E+00   1.3419002450727829E-01   1.9838877915100372E-01
         2         29   0.0000000000000000E+00   1.0821574499809814E+00   1.3419002450727829E-01   1.9838877915100372E-01
         2         30   0.0000000000000000E+00   9.5499048162517075E-01   8.3552967333895667E-02   5.1335727164507433E-02
         2         31   0.0000000000000000E+00   9.5499048162517075E-01   8.3552967333895667E-02   5.1335727164507433E-02
         2         32   0.0000000000000000E+00   2.1816919505842661E-01   4.5205911976170313E-02   4.7588068671127644E-02
         2         33   0.0000000000000000E+00   4.8537343584422932E-01   9.2225641716585025E-02   9.6714716983077070E-02
         2         34   0.0000000000000000E+00   4.8537343584422932E-01   9.2225641716585025E-02   9.6714716983077070E-02
         2         35   0.0000000000000000E+00   5.8260712298813544E-01   1.0006838679690436E-01   8.1418649741642285E-02
         2         36   2.5248934430882530E-10   4.6640640091875181E+00   3.8557833941743877E-02   2.6561053240538646E-01
         2         37   0.0000000000000000E+00   1.0771311409811193E+00   1.6211079652699048E-01   1.5737606319432051E-01
         2         38   0.0000000000000000E+00   1.0771311409811193E+00   1.6211079652699048E-01   1.5737606319432051E-01
         2         39   0.0000000000000000E+00   1.4690197935959284E+00   1.3570212601953291E-01   6.4253545020028474E-02
         2         40   0.0000000000000000E+00   1.4690197935959284E+00   1.3570212601953291E-01   6.4253545020028474E-02
         2         41   0.0000000000000000E+00   2.8656540059266727E-01   5.0791683871926910E-02   5.2833995154047950E-02
         2         42   0.0000000000000000E+00   3.8499762731329057E-01   8.1707690497603111E-02   4.0608130076788394E-02
         2         43   0.0000000000000000E+00   3.8499762731329057E-01   8.1707690497603111E-02   4.0608130076788394E-02
         2         44   0.0000000000000000E+00   5.5489377514327987E-01   8.2512706834087360E-02   4.2747935657704079E-02
         2         45   2.1448734213077727E-15   9.4463925900911705E-01   7.1835068813645370E-03   6.2919100073933198E-02
         2         46   0.0000000000000000E+00   2.6614689695923954E-01   2.0555676721521116E-02   4.1136253221408778E-02
         2         47   0.0000000000000000E+00   2.6614689695923954E-01   2.0555676721521116E-02   4.1136253221408778E-02
         2         48   0.0000000000000000E+00   2.5682982547720007E-01   5.2314143828759586E-03   7.0371830785527015E-03
         2         49   0.0000000000000000E+00   2.5682982547720007E-01   5.2314143828759586E-03   7.0371830785527015E-03
         2         50   0.0000000000000000E+00   3.0893524742125235E-02   4.2149055072583557E-03   4.7871895509693325E-03
         2         51   0.0000000000000000E+00   5.4825898597807579E-02   6.7982685691233462E-03   8.9990703645660749E-03
         2         52   0.0000000000000000E+00   5.4825898597807579E-02   6.7982685691233462E-03   8.9990703645660749E-03
         2         53   0.0000000000000000E+00   6.8495127525169244E-02   1.1242394802457194E-02   1.1135883167629057E-02
         2         54   6.5326774407987760E-15   8.8915639714117711E-01   5.5272210778820538E-03   4.7159618946379857E-02
         2         55   0.0000000000000000E+00   2.9914586706100282E-01   1.3739632986765345E-02   1.9945395063607166E-02
         2         56   0.0000000000000000E+00   2.9914586706100282E-01   1.3739632986765345E-02   1.9945395063607166E-02
         2         57   0.0000000000000000E+00   4.3877626555098265E-01   7.3474684972341933E-03   7.8753558864044209E-03
         2         58   0.0000000000000000E+00   4.3877626555098265E-01   7.3474684972341933E-03   7.8753558864044209E-03
         2         59   0.0000000000000000E+00   3.2900928453947841E-02   3.4017338194440895E-03   4.0852194611920595E-03
         2         60   0.0000000000000000E+00   3.9533126321994579E-02   3.1998307461601908E-03   2.7377554013581790E-03
         2         61   0.0000000000000000E+00   3.9533126321994579E-02   3.1998307461601908E-03   2.7377554013581790E-03
         2         62   0.0000000000000000E+00   4.5140147895098501E-02   4.3269198249404955E-03   3.7963466250089334E-03
         3          1   1.2206908674452046E+00   3.9902098882624282E+00   2.5988040507989609E+00   2.6029334131017190E-01
         3          2   8.5523827570759110E+00   1.5163703747359968E+01   1.1127727529842543E+01   7.5147209391625225E-01
         3          3   2.0637747376153612E+00   4.2751612600814139E+00   2.8217569440310042E+00   2.1165504624562695E-01
         3          4   7.7883068882489881E-01   3.0879586565943988E+00   1.8913403587495565E+00   2.1258647301529568E-01
         3          5   6.2646255030220814E+00   1.0918367186886760E+01   8.0401818971133121E+00   5.2437535250125178E-01
         3          6   1.3292748548622766E+00   2.8683660128356654E+00   1.8381448173323574E+00   1.3912609219805647E-01
         3          7   2.5763546838138912E-01   1.8374735644869580E+00   1.0057106114972707E+00   1.3754955607157879E-01
         3          8   3.6336421460297257E+00   6.0852520403312544E+00   4.5637005241578965E+00   2.6706522979385439E-01
         3          9   5.3867514757450796E-01   1.2679392084623067E+00   7.7448912589009855E-01   6.4462806923938812E-02
         3         10   5.2906020599109864E-02   9.4741363927148681E-01   4.3970218447867515E-01   7.6900491529556858E-02
         3         11   2.0060935737523882E+00   3.2721053019466426E+00   2.5128321153184685E+00   1.3635587833465532E-01
         3         12   1.5215815246971884E-01   4.8630040057983476E-01   2.4005573873910949E-01   2.6071675413215825E-02
         3         13   4.8216196010492335E-01   9.7814590988893702E-01   6.9683449750025828E-01   5.3448155291881280E-02
         3         14   3.0806380388273581E-03   4.3309796083361642E-02   9.2609849060903485E-03   2.1550220300566659E-03
         3         15   5.6504795956628318E-01   3.5532535704579176E+00   2.0608140794103531E+00   2.7929841527756349E-01
         3         16   3.8916510119815770E+00   6.3965106540702434E+00   5.1152801942476280E+00   1.9886583194584886E-01
         3         17   2.7791863639667508E-01   3.3768555542620549E+00   1.8043120026648198E+00   2.7139042036659605E-01
         3         18   1.4271126835908114E+00   3.5791259366411095E+00   1.9268164682946509E+00   1.5834539896424016E-01
         3         19   3.0267622168218749E+00   5.2434688703745165E+00   4.5633753562303854E+00   1.8582961885741153E-01
         3         20   8.1482610603748218E-01   3.1933155840057545E+00   1.3913702770445382E+00   1.5411932784115934E-01
         3         21   8.2027993248285858E-02   1.1980699527422534E+00   6.1040090495725308E-01   1.4050332597681145E-01
         3         22   1.4247809447752804E+00   5.2173752980329651E+00   2.9609112283831833E+00   3.5007403597368686E-01
         3         23   3.3295975490810889E-03   1.0255329689123713E+00   3.7344805622339028E-01   1.4105155076024231E-01
         3         24   1.4809713320487244E-01   8.0565728146718751E-01   4.4213640279188476E-01   7.3679059188658469E-02
         3         25   8.5430675020074742E-01   4.7476809669923474E+00   2.2478721696434771E+00   3.5171309202080459E-01
         3         26   6.0984141466763730E-02   7.1957268820453224E-01   3.0695494866378570E-01   8.2813384628236425E-02
         3         27   7.6192807281974717E-01   2.3846026360364099E+00   1.3517153868394529E+00   1.7144284928279951E-01
         3         28   9.7127701124378696E-01   3.7242525170595164E+00   1.8140940323387211E+00   2.8241578583055488E-01
         3         29   6.1872898079968111E-02   3.0168924486215570E-01   1.4104904507328772E-01   2.5060069761709786E-02
         3         30   7.2119471197451518E-02   3.6137855241096967E-01   1.6081091564467465E-01   2.8653265277762404E-02
         4          1   3.8066246261413272E-01   3.8945684946421339E+00   1.5971294667495894E+00   2.4989746744688696E-01
         4          2   6.7301664616123880E+00   1.5212479560328260E+01   9.8158764366591047E+00   1.0355503306735379E+00
         4          3   8.8442691720350586E-01   2.7860603967658450E+00   1.4108784720154961E+00   1.2991993840486329E-01
         4          4   1.9725443829610714E-01   2.8990254298030220E+00   1.0963451066224472E+00   1.9119632362051675E-01
         4          5   5.0496569919265761E+00   1.0985079886106666E+01   7.1311208514835140E+00   6.9662942651842885E-01
         4          6   5.6655022747963890E-01   1.9632413783201863E+00   9.1907240866617923E-01   8.9007656841790406E-02
         4          7   4.7522587488451430E-02   1.7343017530866547E+00   5.0680062634930922E-01   1.1826753579339766E-01
         4          8   3.1257996983167797E+00   6.1797443499143050E+00   4.1135168144062026E+00   3.2753961361192357E-01
         4          9   1.6689915993640769E-01   9.1545862703855685E-01   3.8724456294504978E-01   4.3990478040034399E-02
         4         10   6.0426225711100205E-03   1.2022316474252526E+00   1.7650157155129936E-01   6.0782213436908483E-02
         4         11   1.9309375773496356E+00   3.4044823432527460E+00   2.3706211774255341E+00   1.3366433407253553E-01
         4         12   2.9183044268825040E-02   3.6337299070354750E-01   1.2002786936955523E-01   1.8172879051325225E-02
         4         13   6.4674416484731290E-01   1.0987852176510660E+00   8.5600194571820998E-01   3.9929654216089475E-02
         4         14   2.4933474439202099E-04   4.2949710103043409E-02   4.6304924530451924E-03   1.4683519452994632E-03
         4         15   1.0188622502468218E-01   3.3952799318744940E+00   1.3236568501374482E+00   1.8845190655958891E-01
         4         16   3.1300069916584494E+00   5.9987757324933701E+00   3.5899918502237007E+00   2.6168330458431793E-01
         4         17   1.1657080023354156E-02   3.0357615320698943E+00   1.1102604013833928E+00   1.8184890424401096E-01
         4         18   4.9461830104962923E-01   1.9160563466931839E+00   8.2739701814486766E-01   9.6874942649928977E-02
         4         19   2.3460553913687341E+00   5.0494647840234217E+00   2.7471365643521106E+00   1.7056516084469098E-01
         4         20   3.1402313031568385E-01   2.1856259320100531E+00   6.9568513852226677E-01   9.5418252968653139E-02
         4         21   4.7376981662759607E-05   2.5923559401095797E-01   4.9022064234824046E-02   2.2049808964079438E-02
         4         22   1.2576883202815350E+00   5.3182860508524783E+00   3.1654819776394487E+00   5.1911877244495719E-01
         4         23   4.6424295550793999E-04   4.8352150831839624E-01   2.2106820139594383E-01   5.1292301542002851E-02
         4         24   8.3723762282458609E-10   1.3198278804316460E-01   2.8199896154837097E-02   1.1352973288137913E-02
         4         25   6.3048819253718180E-01   4.5672507749847080E+00   2.4944990239622618E+00   4.9248449090636154E-01
         4         26   6.3565586711598190E-06   4.4303977390855337E-01   1.5347747433189238E-01   5.4850700793476967E-02
         4         27   8.3138179498421672E-01   2.6878097015193965E+00   1.3147455360443503E+00   1.4773428039628031E-01
         4         28   6.5892010134755841E-01   3.9636646074345379E+00   1.3492465110779004E+00   3.0325786627128187E-01
         4         29   9.4934380920091072E-02   3.8490437485342638E-01   1.8912249364106165E-01   2.2695289484436425E-02
         4         30   5.8593964797141074E-02   4.3586291025861817E-01   1.2279672153971163E-01   2.4817676526487135E-02
