################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.2926400385537816E+01 a         1     0     1     1     1
  2.4285987251259744E+01 a         2     0     1     1     2
 -3.0914853238210132E+01 a         3     0     1     1     3
 -2.8672214254158408E+01 a         4     0     1     1     4
 -9.7998444815959243E+00 a         5     0     1     1     5
  2.5541172765458800E+01 a         6     0     1     1     6
 -3.9753642725892767E+01 a         7     0     1     1     7
  3.5868328205114786E+01 a         8     0     1     1     8
 -4.8687080299896969E+01 a         9     0     1     1     9
 -1.7661667699167829E+01 a        10     0     1     1    10
 -1.0397631259150781E+01 a        11     0     1     1    11
 -9.9389972431416602E+00 a        12     0     1     1    12
 -1.7443542414555637E+01 a        13     0     1     1    13
 -4.9759666182200313E+01 a        14     0     1     1    14
 -1.6061106860212885E+01 a        15     0     1     1    15
 -2.2340688015324637E+00 a        16     0     1     1    16
  5.8564601386736630E+00 a        17     0     1     1    17
  2.1873721803004077E+01 a        18     0     1     1    18
 -1.3713318761202940E+01 a        19     0     1     1    19
  4.4097609815098476E-01 a        20     0     1     1    20
 -1.6537922896478808E+01 a        21     0     1     1    21
 -4.3803130674156057E+00 a        22     0     1     1    22
 -2.4840436983365421E+01 a        23     0     1     1    23
  1.2909509888850041E+01 a        24     0     1     1    24
 -1.1356535827969381E+01 a        25     0     1     1    25
 -1.7641402980646252E+01 a        26     0     2     1     1
 -2.2016916627881223E+01 a        27     0     2     1     2
  8.4847241658946231E+01 a        28     0     2     1     3
 -4.6860943789425065E+01 a        29     0     2     1     4
  3.0655273932822997E+01 a        30     0     2     1     5
  6.7945096508251297E+01 a        31     0     2     1     6
 -1.1385154927135154E+01 a        32     0     2     1     7
 -4.4394344560675741E-01 a        33     0     2     1     8
  1.0829839145548950E+01 a        34     0     2     1     9
 -1.3989985266830828E+01 a        35     0     2     1    10
  2.4180289601813620E+01 a        36     0     2     1    11
  6.7053816442195604E+00 a        37     0     2     1    12
