################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  3.0371822024384802E+01 a         1     0     1     1     1
 -2.0866321583542270E+01 a         2     0     1     1     2
  4.2328297372133996E+01 a         3     0     1     1     3
 -7.2016875505008727E+01 a         4     0     1     1     4
 -1.3600257182686683E+01 a         5     0     1     1     5
 -2.1339093130743805E+01 a         6     0     1     1     6
  1.2845453800828341E+01 a         7     0     1     1     7
 -2.0498968772763586E+00 a         8     0     1     1     8
 -1.4398703670826553E+01 a         9     0     1     1     9
 -1.6252822441237917E+01 a        10     0     1     1    10
  2.9797688754170636E+01 a        11     0     1     1    11
  1.4448387715581003E+01 a        12     0     1     1    12
  1.3773664676254430E+01 a        13     0     1     1    13
  4.2255868362433468E+01 a        14     0     1     1    14
 -1.5882193515314755E+00 a        15     0     1     1    15
  1.1592429362310787E+01 a        16     0     1     1    16
 -5.2573307696577656E+00 a        17     0     1     1    17
 -3.2975386736772137E+01 a        18     0     1     1    18
  4.4893531374970213E+00 a        19     0     1     1    19
 -4.0474654873243949E+01 a        20     0     1     1    20
  4.0210847741316371E+00 a        21     0     1     1    21
 -2.6106796783654577E+01 a        22     0     1     1    22
 -7.7998010653524705E+00 a        23     0     1     1    23
 -1.2715580207486154E+01 a        24     0     1     1    24
  3.4175262233475735E+01 a        25     0     1     1    25
 -2.1460506051951239E+01 a        26     0     2     1     1
 -9.1713162491521523E+00 a        27     0     2     1     2
 -2.4489224593609990E+01 a        28     0     2     1     3
 -7.1421803755600655E+00 a        29     0     2     1     4
 -1.9050915868504759E-01 a        30     0     2     1     5
  4.8208169719453146E+01 a        31     0     2     1     6
  4.2113176150294960E+00 a        32     0     2     1     7
  7.7212480708951858E+01 a        33     0     2     1     8
  2.7415624628632398E+00 a        34     0     2     1     9
 -3.6284657369729935E+01 a        35     0     2     1    10
  7.2051416031195012E+00 a        36     0     2     1    11
  1.8364580817878210E+01 a        37     0     2     1    12
  4.0668380337061997E+01 a        38     0     2     1    13
