################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.8976204690230953E+00 a         1     0     1     1     1
 -6.7388855338020752E+00 a         2     0     1     1     2
  6.8961370954133088E+00 a         3     0     1     1     3
  9.0526043189553196E+00 a         4     0     1     1     4
  4.7723851771367851E+00 a         5     0     1     1     5
 -1.5858998982310624E+01 a         6     0     1     1     6
  1.2363739640508490E+01 a         7     0     1     1     7
  5.1935033137853237E+00 a         8     0     1     1     8
  5.7093189369608996E+00 a         9     0     1     1     9
 -1.6484002138376766E+01 a        10     0     1     1    10
  3.8249585997086022E+01 a        11     0     1     1    11
 -4.2301884330753332E+01 a        12     0     1     1    12
 -1.6066509588437167E+01 a        13     0     1     1    13
 -4.2834743483829527E+00 a        14     0     1     1    14
 -5.9343108076374406E+01 a        15     0     1     1    15
 -2.0055927617341553E+01 a        16     0     1     1    16
  3.9661436416572831E+00 a        17     0     1     1    17
  5.0130766837250293E+00 a        18     0     1     1    18
 -2.2212136014093094E+01 a        19     0     1     1    19
 -2.4437019585691937E+00 a        20     0     1     1    20
  1.1167163169340317E+00 a        21     0     1     1    21
  9.0622972472223022E+00 a        22     0     1     1    22
  1.4379559167347832E+01 a        23     0     1     1    23
  4.3213610278102372E+01 a        24     0     1     1    24
 -6.2566431429647587E+01 a        25     0     1     1    25
  5.0143701052856372E+01 a        26     0     2     1     1
 -5.8160056410605918E+01 a        27     0     2     1     2
 -2.0839743325886609E+01 a        28     0     2     1     3
  6.9488085387278353E+00 a        29     0     2     1     4
 -3.3899974585332274E+01 a        30     0     2     1     5
 -5.8895668790694124E+01 a        31     0     2     1     6
 -2.6371906996971322E+01 a        32     0     2     1     7
 -7.8109976155858533E+01 a        33     0     2     1     8
 -4.5659365398213865E+01 a        34     0     2     1     9
  3.7030234202685264E+01 a        35     0     2     1    10
 -4.4792738742743026E+01 a        36     0     2     1    11
 -1.7249067472805798E+01 a        37     0     2     1    12
 -2.5488758491686920E+00 a        38     0     2     1    13
  1.2492873562693633E+01 a        39     0     2     1    14
 -1.2995033921913860E+01 a        40     0     2     1    15
  2.0697590420330489E+01 a        41     0     2     1    16
 -2.5698073332686025E+01 a        42     0     2     1    17
 -5.4388458561308841E+00 a        43     0     2     1    18
  3.9985015645085986E+00 a        44     0     2     1    19
  2.5293189460482878E+01 a        45     0     2     1    20
  1.4141802178332401E+01 a        46     0     2     1    21
 -5.7157396577164207E+01 a        47     0     2     1    22
  7.7334929542618114E-01 a        48     0     2     1    23
 -2.4721104843982779E+01 a        49     0     2     1    24
 -5.0381725157927399E+01 a        50     0     2     1    25
  1.3672467169153901E+01 a        51     0     3     1     1
  2.9939623531003836E+01 a        52     0     3     1     2
  2.3727473974745546E+01 a        53     0     3     1     3
  2.8038775448477198E+00 a        54     0     3     1     4
 -1.5480863615378821E+01 a        55     0     3     1     5
  4.1802779190358962E+01 a        56     0     3     1     6
  1.0418712747175292E+01 a        57     0     3     1     7
  6.1729551966652167E+01 a        58     0     3     1     8
  5.8838886881463274E+01 a        59     0     3     1     9
 -8.0946127084944290E+00 a        60     0     3     1    10
  4.3480497606291124E+01 a        61     0     3     1    11
  3.2856969420418340E+00 a        62     0     3     1    12
  4.6394801109169004E+00 a        63     0     3     1    13
 -7.1161615724850577E+01 a        64     0     3     1    14
  4.5252740678152328E+01 a        65     0     3     1    15
 -1.3129702452847642E+01 a        66     0     3     1    16
 -1.1986658529546782E+01 a        67     0     3     1    17
  4.7902215822093064E+00 a        68     0     3     1    18
 -3.5142220272089169E+01 a        69     0     3     1    19
  3.9471987979822686E+01 a        70     0     3     1    20
 -2.5122782953255850E+01 a        71     0     3     1    21
  7.5680287432158408E+01 a        72     0     3     1    22
  6.5881899563663268E+01 a        73     0     3     1    23
  4.2866869303343243E+01 a        74     0     3     1    24
  3.8008615068760960E+01 a        75     0     3     1    25
 -3.9274247935656010E+00 a        76     0     4     1     1
  5.9431765922939501E+00 a        77     0     4     1     2
 -1.3585509420150691E+01 a        78     0     4     1     3
 -1.8728644794479600E+01 a        79     0     4     1     4
 -9.6052446353062990E+00 a        80     0     4     1     5
  2.3627508481749068E+01 a        81     0     4     1     6
 -2.9437986804249501E+01 a        82     0     4     1     7
 -1.4112394828642849E+01 a        83     0     4     1     8
  8.8501603828382003E-01 a        84     0     4     1     9
  1.6276677687231050E+01 a        85     0     4     1    10
 -6.9639121624035795E+01 a        86     0     4     1    11
  7.8805601207441640E+01 a        87     0     4     1    12
  2.8189669043154126E+01 a        88     0     4     1    13
  7.4133725164346675E-01 a        89     0     4     1    14
  9.6630686455773045E+01 a        90     0     4     1    15
  2.9048079797220861E+01 a        91     0     4     1    16
 -9.0822231528436070E+00 a        92     0     4     1    17
 -1.0055572597835438E+01 a        93     0     4     1    18
  3.9174290145620198E+01 a        94     0     4     1    19
 -3.1284891584489536E+00 a        95     0     4     1    20
  2.4709015857517178E+00 a        96     0     4     1    21
 -9.3974764372796677E+00 a        97     0     4     1    22
 -2.1435750817254494E+01 a        98     0     4     1    23
 -8.1172890968362168E+01 a        99     0     4     1    24
  1.1764048224283393E+02 a       100     0     4     1    25
 -1.0015342259656798E+02 a       101     0     5     1     1
  1.0085503214724191E+02 a       102     0     5     1     2
  4.5150557463309021E+01 a       103     0     5     1     3
 -1.7576546805818108E+01 a       104     0     5     1     4
  6.4524832870920207E+01 a       105     0     5     1     5
  1.0770679246108710E+02 a       106     0     5     1     6
  6.3370512258529708E+01 a       107     0     5     1     7
  1.3905109108028077E+02 a       108     0     5     1     8
  7.0404149363590790E+01 a       109     0     5     1     9
 -6.2135854780511991E+01 a       110     0     5     1    10
  6.5888428759561066E+01 a       111     0     5     1    11
  2.2349306926278736E+01 a       112     0     5     1    12
  1.2783021294261285E+01 a       113     0     5     1    13
 -1.1566548467730392E+01 a       114     0     5     1    14
  2.7886422069044574E+01 a       115     0     5     1    15
 -6.0766273440601424E+01 a       116     0     5     1    16
  3.5574076089876058E+01 a       117     0     5     1    17
  2.6056676514333724E+01 a       118     0     5     1    18
 -1.7752000294857442E+01 a       119     0     5     1    19
 -5.4496011071264988E+01 a       120     0     5     1    20
 -3.6167849390515791E+01 a       121     0     5     1    21
  1.0243289362431311E+02 a       122     0     5     1    22
  3.5799033549628306E-01 a       123     0     5     1    23
  1.2155397004413585E+01 a       124     0     5     1    24
  6.4777085318268661E+01 a       125     0     5     1    25
 -1.7162545810542866E+01 a       126     0     6     1     1
 -5.1610865928612768E+01 a       127     0     6     1     2
 -5.8651011545387689E+01 a       128     0     6     1     3
 -4.8544761579143723E+00 a       129     0     6     1     4
  3.9293693083157812E+01 a       130     0     6     1     5
 -6.1995251089454463E+01 a       131     0     6     1     6
 -2.4691727429035225E+01 a       132     0     6     1     7
 -1.0328789783820635E+02 a       133     0     6     1     8
 -9.4773877749810993E+01 a       134     0     6     1     9
  3.5197504929864913E+00 a       135     0     6     1    10
 -5.5129421414670681E+01 a       136     0     6     1    11
 -1.4294921522309496E+01 a       137     0     6     1    12
 -1.2307648755576437E+01 a       138     0     6     1    13
  1.1762259035408267E+02 a       139     0     6     1    14
 -7.9994999481133036E+01 a       140     0     6     1    15
  1.2723546143925569E+01 a       141     0     6     1    16
  1.8491643840058703E+01 a       142     0     6     1    17
 -1.2533020013423958E+01 a       143     0     6     1    18
  5.3382196348985687E+01 a       144     0     6     1    19
 -6.4926304509145467E+01 a       145     0     6     1    20
  3.8687448771630322E+01 a       146     0     6     1    21
 -1.2485460573199107E+02 a       147     0     6     1    22
 -1.1075510341257889E+02 a       148     0     6     1    23
 -5.9547383028297915E+01 a       149     0     6     1    24
 -5.6845430412305035E+01 a       150     0     6     1    25
  5.5774796713388014E+01 a       151     0     7     1     1
  4.2464607856822639E+01 a       152     0     7     1     2
  1.1620126783683213E+01 a       153     0     7     1     3
  6.2868021377892909E+00 a       154     0     7     1     4
  5.3272663343398818E+01 a       155     0     7     1     5
  6.9730907628820546E+01 a       156     0     7     1     6
  2.1773647146468587E+01 a       157     0     7     1     7
  4.0224276338733702E+01 a       158     0     7     1     8
 -3.5060506621792641E+01 a       159     0     7     1     9
 -2.1833445359929446E+01 a       160     0     7     1    10
  4.1700935219749748E+00 a       161     0     7     1    11
 -3.2762860550365858E+01 a       162     0     7     1    12
 -3.4645801276137340E+00 a       163     0     7     1    13
  1.8919403383425802E+01 a       164     0     7     1    14
  6.0071147992614540E+00 a       165     0     7     1    15
  5.3591143385024353E+01 a       166     0     7     1    16
  2.4343042756536053E+00 a       167     0     7     1    17
  3.1289465731152887E+01 a       168     0     7     1    18
  7.0681145314612204E+00 a       169     0     7     1    19
  2.7592076341967825E+01 a       170     0     7     1    20
 -6.2294174551932102E-01 a       171     0     7     1    21
 -1.6231715413623185E+01 a       172     0     7     1    22
 -4.0669420175941768E+00 a       173     0     7     1    23
 -5.0293163494243198E-01 a       174     0     7     1    24
  3.0956856446531549E+00 a       175     0     7     1    25
  7.1441576850586742E+01 a       176     0     8     1     1
 -6.7886507943572852E+01 a       177     0     8     1     2
 -4.1535541582926456E+01 a       178     0     8     1     3
  1.9215486419658028E+01 a       179     0     8     1     4
 -7.1193392951222194E+01 a       180     0     8     1     5
 -8.1820277140066509E+01 a       181     0     8     1     6
 -5.0205211300773534E+01 a       182     0     8     1     7
 -8.4414689641938779E+01 a       183     0     8     1     8
 -3.6499255120743918E+01 a       184     0     8     1     9
  2.6414823611969734E+01 a       185     0     8     1    10
 -4.2206333687742820E+01 a       186     0     8     1    11
 -8.7428993186170505E+00 a       187     0     8     1    12
 -1.3057188665593320E+00 a       188     0     8     1    13
  1.5782472095310676E+00 a       189     0     8     1    14
 -3.7904890234578623E+01 a       190     0     8     1    15
  6.7691579352276449E+01 a       191     0     8     1    16
 -1.6199750277644181E+01 a       192     0     8     1    17
 -4.8746753598516925E+01 a       193     0     8     1    18
  4.1884598481510665E+01 a       194     0     8     1    19
  3.5586947289938415E+01 a       195     0     8     1    20
  3.7670097928172439E+01 a       196     0     8     1    21
 -6.1192053517856415E+01 a       197     0     8     1    22
 -1.1574846211263761E+01 a       198     0     8     1    23
  2.2597744473817531E+01 a       199     0     8     1    24
 -1.7367210984166391E+01 a       200     0     8     1    25
  4.6951541766681046E+00 a       201     0     9     1     1
  2.5277647765237340E+01 a       202     0     9     1     2
  3.0436848455996639E+01 a       203     0     9     1     3
  1.0407666291232502E+00 a       204     0     9     1     4
 -3.8115397441829813E+01 a       205     0     9     1     5
  1.4107946493193740E+01 a       206     0     9     1     6
  4.3555179207977652E+01 a       207     0     9     1     7
  1.1783129743241141E+00 a       208     0     9     1     8
  1.0630648077083430E+01 a       209     0     9     1     9
  4.2305509255146191E+01 a       210     0     9     1    10
 -4.1947966225019373E+00 a       211     0     9     1    11
  1.6006962939037241E+01 a       212     0     9     1    12
 -6.9163023742334477E+00 a       213     0     9     1    13
 -2.5148757753470491E+01 a       214     0     9     1    14
  9.4083209497207207E+01 a       215     0     9     1    15
  2.2278544128479673E+01 a       216     0     9     1    16
  3.3684152199982890E+01 a       217     0     9     1    17
  3.0148777063929344E+01 a       218     0     9     1    18
  2.0793571222948927E+01 a       219     0     9     1    19
  1.0743548504723343E+01 a       220     0     9     1    20
 -1.1200550361814354E+01 a       221     0     9     1    21
  4.6019260898051655E+01 a       222     0     9     1    22
 -1.7641175649335853E+01 a       223     0     9     1    23
 -2.3010966526070618E+01 a       224     0     9     1    24
 -3.6518307282309820E+01 a       225     0     9     1    25
 -3.1391541658710452E+01 a       226     0    10     1     1
 -2.5834470004654683E+01 a       227     0    10     1     2
 -3.7987833553031156E+00 a       228     0    10     1     3
  2.7908523387025719E-01 a       229     0    10     1     4
 -3.0264420059674599E+01 a       230     0    10     1     5
 -4.5288989002082360E+01 a       231     0    10     1     6
 -6.5330494578856948E+00 a       232     0    10     1     7
 -2.0738122121064688E+01 a       233     0    10     1     8
  1.9626245934430433E+01 a       234     0    10     1     9
  1.1532785548043828E+01 a       235     0    10     1    10
  1.1170637676003668E+01 a       236     0    10     1    11
  3.1446713401833586E+00 a       237     0    10     1    12
 -3.1659848970812816E+00 a       238     0    10     1    13
 -1.0647053067726317E+01 a       239     0    10     1    14
 -2.2963526163284037E+01 a       240     0    10     1    15
 -3.6219460241751662E+01 a       241     0    10     1    16
  5.5672404591442082E-01 a       242     0    10     1    17
 -1.6877559900625091E+01 a       243     0    10     1    18
 -1.1728744609319294E+01 a       244     0    10     1    19
 -1.5031529117178197E+01 a       245     0    10     1    20
  1.8514390343132039E-01 a       246     0    10     1    21
  1.0292650339831910E+01 a       247     0    10     1    22
  6.3489169139322925E+00 a       248     0    10     1    23
  1.6216034123692133E+01 a       249     0    10     1    24
 -2.4492972559616515E+01 a       250     0    10     1    25
 -1.9980625152443505E+01 a       251     0    11     1     1
  1.2205897653103063E+01 a       252     0    11     1     2
  1.5061134539715868E+01 a       253     0    11     1     3
 -9.5789340324350469E+00 a       254     0    11     1     4
  2.0729497296645292E+01 a       255     0    11     1     5
  2.2851432067672217E+01 a       256     0    11     1     6
  2.3777093990560925E+00 a       257     0    11     1     7
  3.9967205673554865E+01 a       258     0    11     1     8
 -4.5009627833410457E+00 a       259     0    11     1     9
  2.5245102736222577E+01 a       260     0    11     1    10
  1.9089488029905567E+01 a       261     0    11     1    11
 -4.4281699871471175E-01 a       262     0    11     1    12
 -8.7614812109532831E+00 a       263     0    11     1    13
 -5.9238860299886200E+00 a       264     0    11     1    14
  4.1669899124675254E+01 a       265     0    11     1    15
 -8.8579983695872553E+00 a       266     0    11     1    16
 -1.8195007659611722E+01 a       267     0    11     1    17
  3.3801378664169413E+01 a       268     0    11     1    18
 -2.8245164419049296E+01 a       269     0    11     1    19
 -2.1595073196815657E+00 a       270     0    11     1    20
 -3.4548472160833498E+01 a       271     0    11     1    21
 -7.7385408107640012E+00 a       272     0    11     1    22
  9.3241387905842377E+00 a       273     0    11     1    23
 -1.8424241128020576E+01 a       274     0    11     1    24
  4.3094239537879178E+00 a       275     0    11     1    25
  2.4657339979495081E+00 a       276     0    12     1     1
 -5.1251265764429721E-01 a       277     0    12     1     2
 -3.1954667299860868E+00 a       278     0    12     1     3
  9.1163371212967081E-01 a       279     0    12     1     4
  2.5115466764307939E+01 a       280     0    12     1     5
  7.0023984075731427E+00 a       281     0    12     1     6
 -3.2014318376354765E+01 a       282     0    12     1     7
  4.0789543844923088E+01 a       283     0    12     1     8
  2.4635886684999171E+01 a       284     0    12     1     9
 -4.0460169312377040E+01 a       285     0    12     1    10
  2.2749378074342378E+01 a       286     0    12     1    11
 -7.7200725203767595E+00 a       287     0    12     1    12
  1.1118967168815221E+01 a       288     0    12     1    13
 -1.8597305251213044E+01 a       289     0    12     1    14
 -6.5468537239772999E+01 a       290     0    12     1    15
 -2.0609462290727048E+01 a       291     0    12     1    16
 -4.2481575582913194E+01 a       292     0    12     1    17
 -1.9339546718889327E+01 a       293     0    12     1    18
 -3.1486510730703092E+01 a       294     0    12     1    19
  1.5215840915814903E+01 a       295     0    12     1    20
 -1.5133297163926029E+00 a       296     0    12     1    21
  7.0039098003661615E-01 a       297     0    12     1    22
  5.7552721511627659E+01 a       298     0    12     1    23
  4.5077143933446749E+01 a       299     0    12     1    24
  5.1109281640651133E+01 a       300     0    12     1    25
  5.5903316281472852E+00 a       301     0    13     1     1
 -2.2222578164567821E+00 a       302     0    13     1     2
 -2.3162019865676799E+00 a       303     0    13     1     3
  4.0409354538561679E+00 a       304     0    13     1     4
  4.6197682636251223E+00 a       305     0    13     1     5
  6.4926588630315685E+00 a       306     0    13     1     6
  7.4444515862849547E+00 a       307     0    13     1     7
 -3.7350410155507312E+00 a       308     0    13     1     8
  6.1089061571259009E+00 a       309     0    13     1     9
 -7.0710653383772213E+00 a       310     0    13     1    10
 -4.0584990678318782E+00 a       311     0    13     1    11
  5.7154430974689552E+00 a       312     0    13     1    12
  2.5458467971209577E+00 a       313     0    13     1    13
  2.7212309291572279E+00 a       314     0    13     1    14
 -6.2362085232642270E+00 a       315     0    13     1    15
 -7.9940086852094270E+00 a       316     0    13     1    16
  1.0779067552834107E+01 a       317     0    13     1    17
 -4.5807263683210220E+00 a       318     0    13     1    18
  6.9326601360292246E+00 a       319     0    13     1    19
  1.9751804418551767E-02 a       320     0    13     1    20
  1.1903378451870257E+01 a       321     0    13     1    21
  9.3757287877132587E+00 a       322     0    13     1    22
  7.9419802816949392E-01 a       323     0    13     1    23
  7.9537416067816276E+00 a       324     0    13     1    24
  8.3968593049904605E+00 a       325     0    13     1    25
 -1.0673173324562242E+00 a       326     0    14     1     1
 -2.3422990977982048E+00 a       327     0    14     1     2
